
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,036372;0,0000;0,0000;0,0000;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,057119;0,0000;0,0000;0,0000;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,076045;0,0088;0,1114;1,1834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,077371;0,0088;0,1114;1,1834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,095868;0,0088;0,1114;1,1834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,115817;0,0088;0,1114;1,1834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,136303;0,0088;0,1114;1,1834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,140749;0,7466;0,5814;0,9821;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,156717;0,7466;0,5814;0,9821;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,175908;0,7466;0,5814;0,9821;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,196101;0,7466;0,5814;0,9821;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,206149;0,4378;0,5297;0,7681;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,215927;0,4378;0,5297;0,7681;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,236474;0,4378;0,5297;0,7681;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,256803;0,4378;0,5297;0,7681;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,274236;0,4583;0,5355;0,4642;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,278075;0,4583;0,5355;0,4642;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,297038;0,4583;0,5355;0,4642;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,316955;0,4583;0,5355;0,4642;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,340989;0,2404;0,5062;0,8834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,346926;0,2404;0,5062;0,8834;-0,5996;0,2784;-0,1541;0,0000;0,0000;0,0000;
0,356610;0,2404;0,5062;0,8834;1,7171;-1,3876;1,3168;0,0000;0,0000;0,0000;
