
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.076920,-0.1438,0.4596,0.8090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095906,-0.1438,0.4596,0.8090,0.0000,0.0000,0.0000,-0.2360,-0.5552,0.4505,
0.144067,-0.0475,0.5049,0.8066,0.0000,0.0000,0.0000,-0.2360,-0.5552,0.4505,
0.163196,-0.0475,0.5049,0.8066,0.0000,0.0000,0.0000,-0.1358,-0.4826,0.0021,
0.173274,-0.0475,0.5049,0.8066,0.0000,0.0000,0.0000,-0.1358,-0.4826,0.0021,
0.212672,-0.1178,0.4729,0.8453,0.0000,0.0000,0.0000,-0.1358,-0.4826,0.0021,
0.231129,-0.1178,0.4729,0.8453,0.0000,0.0000,0.0000,0.0589,-0.9572,0.1108,
0.241571,-0.1178,0.4729,0.8453,-0.1691,0.0094,0.0393,0.0589,-0.9572,0.1108,
0.280589,-0.0138,0.4885,0.8809,-0.1691,0.0094,0.0393,0.0589,-0.9572,0.1108,
0.299394,-0.0138,0.4885,0.8809,-0.1691,0.0094,0.0393,-0.0260,-1.0106,0.3279,
0.309253,-0.0138,0.4885,0.8809,-0.6533,-0.1414,0.3498,-0.0260,-1.0106,0.3279,
0.348374,-0.0318,0.4718,0.8716,-0.6533,-0.1414,0.3498,-0.0260,-1.0106,0.3279,
0.367502,-0.0318,0.4718,0.8716,-0.6533,-0.1414,0.3498,-0.2934,-0.4668,0.0508,
0.377610,-0.0318,0.4718,0.8716,-0.0675,0.1421,0.2373,-0.2934,-0.4668,0.0508,
0.417204,-0.0454,0.4290,0.8802,-0.0675,0.1421,0.2373,-0.2934,-0.4668,0.0508,
0.436628,-0.0454,0.4290,0.8802,-0.0675,0.1421,0.2373,-0.3180,-0.2285,0.0338,
0.445620,-0.0454,0.4290,0.8802,-0.5029,0.0492,0.0780,-0.3180,-0.2285,0.0338,
0.484696,-0.0259,0.3485,0.9313,-0.5029,0.0492,0.0780,-0.3180,-0.2285,0.0338,
0.504140,-0.0259,0.3485,0.9313,-0.5029,0.0492,0.0780,-0.5338,-0.1956,0.1797,
0.513847,-0.0259,0.3485,0.9313,-0.5715,-0.2044,0.1443,-0.5338,-0.1956,0.1797,
0.552886,0.0313,0.2577,1.0106,-0.5715,-0.2044,0.1443,-0.5338,-0.1956,0.1797,
0.572120,0.0313,0.2577,1.0106,-0.5715,-0.2044,0.1443,0.0908,-0.2173,0.3231,
0.582174,0.0313,0.2577,1.0106,-0.3136,-0.9958,0.7603,0.0908,-0.2173,0.3231,
0.621126,0.0548,0.2432,1.0359,-0.3136,-0.9958,0.7603,0.0908,-0.2173,0.3231,
0.640579,0.0548,0.2432,1.0359,-0.3136,-0.9958,0.7603,0.1664,-0.3493,0.2479,
0.650449,0.0548,0.2432,1.0359,-0.0942,-1.5362,1.2519,0.1664,-0.3493,0.2479,
0.689298,0.1184,0.2629,1.1090,-0.0942,-1.5362,1.2519,0.1664,-0.3493,0.2479,
0.709023,0.1184,0.2629,1.1090,-0.0942,-1.5362,1.2519,-0.3279,-0.3422,0.2763,
0.718678,0.1184,0.2629,1.1090,-0.1729,-0.9756,1.3111,-0.3279,-0.3422,0.2763,
0.757603,0.1717,0.1922,1.0886,-0.1729,-0.9756,1.3111,-0.3279,-0.3422,0.2763,
0.776826,0.1717,0.1922,1.0886,-0.1729,-0.9756,1.3111,-0.4876,0.0208,0.1855,
0.787336,0.1717,0.1922,1.0886,0.7239,-0.7635,1.5271,-0.4876,0.0208,0.1855,
0.825825,0.1775,0.1554,1.0168,0.7239,-0.7635,1.5271,-0.4876,0.0208,0.1855,
0.845172,0.1775,0.1554,1.0168,0.7239,-0.7635,1.5271,-0.3128,0.0757,0.2668,
0.856347,0.1775,0.1554,1.0168,0.6249,-1.1550,0.7043,-0.3128,0.0757,0.2668,
0.893892,0.2617,0.1489,1.1851,0.6249,-1.1550,0.7043,-0.3128,0.0757,0.2668,
0.913490,0.2617,0.1489,1.1851,0.6249,-1.1550,0.7043,-0.5206,-0.1649,0.0427,
0.923268,0.2617,0.1489,1.1851,0.9894,-0.8960,0.8199,-0.5206,-0.1649,0.0427,
0.962736,0.1897,0.1568,1.2383,0.9894,-0.8960,0.8199,-0.5206,-0.1649,0.0427,
0.982126,0.1897,0.1568,1.2383,0.9894,-0.8960,0.8199,-0.4019,0.0045,-0.0500,
0.992272,0.1897,0.1568,1.2383,1.1806,-0.5472,2.1737,-0.4019,0.0045,-0.0500,
1.031712,0.1731,0.2088,1.2560,1.1806,-0.5472,2.1737,-0.4019,0.0045,-0.0500,
1.051709,0.1731,0.2088,1.2560,1.1806,-0.5472,2.1737,-0.5534,0.0105,0.0328,
1.060915,0.1731,0.2088,1.2560,0.3175,0.0993,1.9473,-0.5534,0.0105,0.0328,
1.099428,0.1413,0.1625,1.2421,0.3175,0.0993,1.9473,-0.5534,0.0105,0.0328,
1.118330,0.1413,0.1625,1.2421,0.3175,0.0993,1.9473,-0.0158,0.1261,-0.0331,
1.128132,0.1413,0.1625,1.2421,0.5060,0.0714,2.1094,-0.0158,0.1261,-0.0331,
1.167301,0.1240,0.1405,1.1995,0.5060,0.0714,2.1094,-0.0158,0.1261,-0.0331,
1.186322,0.1240,0.1405,1.1995,0.5060,0.0714,2.1094,0.2963,-0.1350,0.0399,
1.197560,0.1240,0.1405,1.1995,-0.0431,-0.4272,1.6702,0.2963,-0.1350,0.0399,
1.236847,0.1341,0.1203,1.1333,-0.0431,-0.4272,1.6702,0.2963,-0.1350,0.0399,
1.254997,0.1341,0.1203,1.1333,-0.0431,-0.4272,1.6702,0.2259,0.0321,0.0631,
1.264933,0.1341,0.1203,1.1333,-0.1119,-0.7199,1.0605,0.2259,0.0321,0.0631,
1.303852,0.1546,0.1128,1.1134,-0.1119,-0.7199,1.0605,0.2259,0.0321,0.0631,
1.323303,0.1546,0.1128,1.1134,-0.1119,-0.7199,1.0605,0.3183,0.3114,0.0778,
1.332768,0.1546,0.1128,1.1134,0.3842,-1.0115,0.5722,0.3183,0.3114,0.0778,
1.372249,0.1476,0.1376,0.9465,0.3842,-1.0115,0.5722,0.3183,0.3114,0.0778,
1.391628,0.1476,0.1376,0.9465,0.3842,-1.0115,0.5722,0.7066,0.6943,0.1946,
1.401257,0.1476,0.1376,0.9465,0.8768,-1.5534,0.2046,0.7066,0.6943,0.1946,
1.440743,0.1396,0.2169,0.8154,0.8768,-1.5534,0.2046,0.7066,0.6943,0.1946,
1.459751,0.1396,0.2169,0.8154,0.8768,-1.5534,0.2046,0.3680,0.6038,0.0727,
1.469672,0.1396,0.2169,0.8154,1.1238,-1.1119,-1.9609,0.3680,0.6038,0.0727,
1.509113,0.1491,0.2322,0.8238,1.1238,-1.1119,-1.9609,0.3680,0.6038,0.0727,
1.527908,0.1491,0.2322,0.8238,1.1238,-1.1119,-1.9609,0.7612,0.7697,-0.1642,
1.537967,0.1491,0.2322,0.8238,1.7482,-1.0910,-1.5287,0.7612,0.7697,-0.1642,
1.577526,0.0731,0.2467,0.7551,1.7482,-1.0910,-1.5287,0.7612,0.7697,-0.1642,
1.597440,0.0731,0.2467,0.7551,1.7482,-1.0910,-1.5287,1.1173,0.8934,-0.2232,
1.606067,0.0731,0.2467,0.7551,1.8791,-1.7460,-2.0432,1.1173,0.8934,-0.2232,
1.645504,-0.0002,0.2534,0.5558,1.8791,-1.7460,-2.0432,1.1173,0.8934,-0.2232,
1.664456,-0.0002,0.2534,0.5558,1.8791,-1.7460,-2.0432,1.1495,0.8343,-0.4980,
1.674370,-0.0002,0.2534,0.5558,2.0194,-2.0830,-1.8988,1.1495,0.8343,-0.4980,
1.714019,-0.1918,0.4128,0.6011,2.0194,-2.0830,-1.8988,1.1495,0.8343,-0.4980,
1.732531,-0.1918,0.4128,0.6011,2.0194,-2.0830,-1.8988,-0.2137,0.6331,-0.2412,
1.744292,-0.1918,0.4128,0.6011,0.7111,-1.1180,-4.1686,-0.2137,0.6331,-0.2412,
1.781237,-0.2445,0.4859,0.9332,0.7111,-1.1180,-4.1686,-0.2137,0.6331,-0.2412,
1.800526,-0.2445,0.4859,0.9332,0.7111,-1.1180,-4.1686,-0.3577,-0.5071,-0.1616,
1.811601,-0.2445,0.4859,0.9332,-0.6464,0.3567,-1.7097,-0.3577,-0.5071,-0.1616,
1.849739,-0.2547,0.4388,1.0642,-0.6464,0.3567,-1.7097,-0.3577,-0.5071,-0.1616,
1.869900,-0.2547,0.4388,1.0642,-0.6464,0.3567,-1.7097,0.6185,-1.0793,0.1267,
1.880285,-0.2547,0.4388,1.0642,-1.9033,0.1908,1.2660,0.6185,-1.0793,0.1267,
1.917949,-0.2106,0.4165,0.8908,-1.9033,0.1908,1.2660,0.6185,-1.0793,0.1267,
1.938198,-0.2106,0.4165,0.8908,-1.9033,0.1908,1.2660,0.8321,-0.7157,0.4800,
1.948651,-0.2106,0.4165,0.8908,-1.8854,-0.9755,1.0105,0.8321,-0.7157,0.4800,
1.985907,-0.2349,0.4344,0.7947,-1.8854,-0.9755,1.0105,0.8321,-0.7157,0.4800,
2.006312,-0.2349,0.4344,0.7947,-1.8854,-0.9755,1.0105,0.3596,0.0116,0.6242,
2.016400,-0.2349,0.4344,0.7947,-1.9449,-0.9770,-0.4136,0.3596,0.0116,0.6242,
2.054173,-0.2103,0.4728,0.9878,-1.9449,-0.9770,-0.4136,0.3596,0.0116,0.6242,
2.074181,-0.2103,0.4728,0.9878,-1.9449,-0.9770,-0.4136,0.3220,0.4303,0.6984,
2.084477,-0.2103,0.4728,0.9878,-1.9424,-0.8409,0.0415,0.3220,0.4303,0.6984,
2.124239,-0.2272,0.4771,0.9450,-1.9424,-0.8409,0.0415,0.3220,0.4303,0.6984,
2.142166,-0.2272,0.4771,0.9450,-1.9424,-0.8409,0.0415,0.8126,0.8023,1.0615,
