
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.031856,0.1368,0.5184,0.8106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.031975,0.1285,0.5203,0.8157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032083,0.1229,0.5233,0.8186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032179,0.1192,0.5247,0.8189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032268,0.1170,0.5265,0.8194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032356,0.1156,0.5279,0.8201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032446,0.1158,0.5274,0.8196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032525,0.1146,0.5262,0.8233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032596,0.1153,0.5233,0.8286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032680,0.1175,0.5208,0.8336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032764,0.1180,0.5191,0.8428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.032837,0.1207,0.5150,0.8484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.039513,0.1226,0.5160,0.8548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.039782,0.1263,0.5186,0.8604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040090,0.1292,0.5208,0.8636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040575,0.1334,0.5255,0.8663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.043809,0.1373,0.5304,0.8680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.045326,0.1437,0.5377,0.8712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047898,0.1517,0.5448,0.8714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.050737,0.1598,0.5533,0.8726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.053582,0.1691,0.5587,0.8719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.055393,0.1788,0.5636,0.8709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.057778,0.1879,0.5670,0.8707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.060082,0.1962,0.5677,0.8682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.062656,0.2050,0.5714,0.8682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.065014,0.2145,0.5724,0.8699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.067299,0.2233,0.5717,0.8741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069637,0.2333,0.5702,0.8755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.072749,0.2445,0.5670,0.8741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.075151,0.2538,0.5690,0.8741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.077256,0.2619,0.5692,0.8777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.079562,0.2702,0.5699,0.8807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.082050,0.2795,0.5726,0.8846,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084482,0.2870,0.5785,0.8880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.086904,0.2963,0.5802,0.8883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.089649,0.3066,0.5851,0.8851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092051,0.3141,0.5890,0.8804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092502,0.3141,0.5890,0.8804,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.094240,0.3257,0.5924,0.8726,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.096635,0.3381,0.5944,0.8677,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.099213,0.3503,0.5953,0.8648,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.101594,0.3606,0.5936,0.8616,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.103918,0.3677,0.5905,0.8580,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.106820,0.3745,0.5831,0.8514,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.108906,0.3784,0.5787,0.8440,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.111222,0.3801,0.5717,0.8350,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.113711,0.3794,0.5621,0.8252,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.116220,0.3777,0.5550,0.8159,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.118744,0.3733,0.5531,0.8084,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.120995,0.3681,0.5521,0.7993,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.123787,0.3591,0.5524,0.7908,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
0.126066,0.3515,0.5548,0.7857,0.0000,0.0000,0.0000,0.1351,-0.5197,0.3932,
