
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.039880,0.3019,0.7033,0.7793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040030,0.2978,0.7016,0.7893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040131,0.2953,0.6979,0.8020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040231,0.2929,0.6957,0.8135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040311,0.2902,0.6936,0.8218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040387,0.2885,0.6921,0.8267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040463,0.2866,0.6884,0.8316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040541,0.2861,0.6877,0.8365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040618,0.2851,0.6823,0.8421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040694,0.2792,0.6777,0.8460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040776,0.2765,0.6762,0.8443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040854,0.2707,0.6743,0.8394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040920,0.2646,0.6760,0.8316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047105,0.2636,0.6782,0.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047460,0.2609,0.6809,0.8142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047714,0.2599,0.6811,0.8069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047970,0.2597,0.6796,0.8042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.050946,0.2592,0.6765,0.8042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.052416,0.2563,0.6694,0.8037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.055152,0.2543,0.6660,0.8045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.058216,0.2536,0.6630,0.8084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.060372,0.2504,0.6623,0.8155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.062970,0.2489,0.6633,0.8220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.064755,0.2460,0.6664,0.8245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.067291,0.2416,0.6733,0.8255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.070747,0.2394,0.6772,0.8235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.072466,0.2335,0.6813,0.8198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.074532,0.2299,0.6865,0.8120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.078319,0.2279,0.6879,0.8057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.079353,0.2255,0.6933,0.7976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.081864,0.2260,0.6970,0.7957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084296,0.2282,0.7006,0.7976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
