
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,036317;0,0000;0,0000;0,0000;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,056648;0,0000;0,0000;0,0000;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,076541;0,1143;0,5795;0,7407;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,078401;0,1143;0,5795;0,7407;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,096736;0,1143;0,5795;0,7407;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,116635;0,1143;0,5795;0,7407;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,136698;0,1143;0,5795;0,7407;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,141580;0,1612;0,5082;0,6450;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,156833;0,1612;0,5082;0,6450;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,176608;0,1612;0,5082;0,6450;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,196771;0,1612;0,5082;0,6450;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,206691;0,2687;0,6401;0,8893;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,216618;0,2687;0,6401;0,8893;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,236764;0,2687;0,6401;0,8893;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,256732;0,2687;0,6401;0,8893;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,271535;0,2130;0,4036;1,0153;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,278169;0,2130;0,4036;1,0153;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,296645;0,2130;0,4036;1,0153;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,317019;0,2130;0,4036;1,0153;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,336790;0,1075;0,3928;0,8707;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,338556;0,1075;0,3928;0,8707;-0,1463;0,3999;0,0663;0,0000;0,0000;0,0000;
0,356712;0,1075;0,3928;0,8707;-1,2294;-2,3572;1,4102;0,0000;0,0000;0,0000;
0,378382;0,1075;0,3928;0,8707;-0,6804;-1,9229;1,1829;0,0000;0,0000;0,0000;
0,383464;0,1075;0,3928;0,8707;-0,6804;-1,9229;1,1829;0,0794;0,0745;-0,0440;
0,397299;0,1075;0,3928;0,8707;0,0468;-1,2665;2,0162;0,0794;0,0745;-0,0440;
0,402032;0,3166;0,4075;1,1453;0,0468;-1,2665;2,0162;0,0794;0,0745;-0,0440;
0,417418;0,3166;0,4075;1,1453;0,6884;-1,2250;3,2711;0,0794;0,0745;-0,0440;
0,437602;0,3166;0,4075;1,1453;0,6403;-1,2183;3,2159;0,0794;0,0745;-0,0440;
