
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,032189;0,0000;0,0000;0,0000;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,051480;0,0000;0,0000;0,0000;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,071430;0,0000;0,0000;0,0000;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,076476;0,0645;0,6782;0,8287;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,091643;0,0645;0,6782;0,8287;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,111734;0,0645;0,6782;0,8287;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,132098;0,0645;0,6782;0,8287;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,141879;-0,1231;0,6372;0,6323;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,152054;-0,1231;0,6372;0,6323;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,172194;-0,1231;0,6372;0,6323;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,192332;-0,1231;0,6372;0,6323;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,207695;-0,0215;0,6323;0,8306;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,213248;-0,0215;0,6323;0,8306;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,233082;-0,0215;0,6323;0,8306;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,252601;-0,0215;0,6323;0,8306;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,272479;0,0215;0,4603;0,8150;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,277310;0,0215;0,4603;0,8150;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,292332;0,0215;0,4603;0,8150;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,315564;0,0215;0,4603;0,8150;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,331832;0,0215;0,4603;0,8150;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,336921;-0,0049;0,4437;0,8179;-0,4686;-0,5262;-2,3052;0,0000;0,0000;0,0000;
0,351894;-0,0049;0,4437;0,8179;0,6393;-3,4527;2,4178;0,0000;0,0000;0,0000;
0,371796;-0,0049;0,4437;0,8179;-0,0113;-3,0837;1,6100;0,0000;0,0000;0,0000;
0,379077;-0,0049;0,4437;0,8179;-0,0113;-3,0837;1,6100;-0,8552;-0,4386;0,0281;
0,392076;-0,0049;0,4437;0,8179;0,0146;-0,9716;0,2266;-0,8552;-0,4386;0,0281;
0,401676;-0,2893;0,5932;1,0603;0,0146;-0,9716;0,2266;-0,8552;-0,4386;0,0281;
0,412028;-0,2893;0,5932;1,0603;-2,3853;-0,7027;2,5476;-0,8552;-0,4386;0,0281;
0,432123;-0,2893;0,5932;1,0603;-1,2417;-2,1286;3,5503;-0,8552;-0,4386;0,0281;
0,441775;-0,2893;0,5932;1,0603;-1,2417;-2,1286;3,5503;0,2834;-0,0648;0,1112;
0,452188;-0,2893;0,5932;1,0603;-0,4534;-1,9332;0,6475;0,2834;-0,0648;0,1112;
0,466877;-0,0547;0,5267;0,8062;-0,4534;-1,9332;0,6475;0,2834;-0,0648;0,1112;
0,471733;-0,0547;0,5267;0,8062;-0,9951;-1,6100;0,6087;0,2834;-0,0648;0,1112;
0,494145;-0,0547;0,5267;0,8062;0,7454;-1,6030;1,0076;0,2834;-0,0648;0,1112;
0,507068;-0,0547;0,5267;0,8062;0,7454;-1,6030;1,0076;0,1881;-0,0073;0,3531;
0,511885;-0,0547;0,5267;0,8062;0,9055;-1,1529;0,7348;0,1881;-0,0073;0,3531;
0,531733;-0,1007;0,5414;0,8091;0,9055;-1,1529;0,7348;0,1881;-0,0073;0,3531;
0,534404;-0,1007;0,5414;0,8091;-0,3152;-1,1958;0,8316;0,1881;-0,0073;0,3531;
0,552062;-0,1007;0,5414;0,8091;-0,4999;-1,5778;1,0858;0,1881;-0,0073;0,3531;
0,571948;-0,1007;0,5414;0,8091;0,0113;-0,7788;1,7191;0,1881;-0,0073;0,3531;
0,575080;-0,1007;0,5414;0,8091;0,0113;-0,7788;1,7191;0,7391;-1,3989;0,5156;
0,592870;-0,1007;0,5414;0,8091;-0,2921;-0,8146;1,0727;0,7391;-1,3989;0,5156;
0,596829;0,0489;0,5482;0,6401;-0,2921;-0,8146;1,0727;0,7391;-1,3989;0,5156;
0,611853;0,0489;0,5482;0,6401;-0,1526;-1,5461;-0,1908;0,7391;-1,3989;0,5156;
0,631834;0,0489;0,5482;0,6401;0,4826;-0,9084;-0,7351;0,7391;-1,3989;0,5156;
0,639009;0,0489;0,5482;0,6401;0,4826;-0,9084;-0,7351;-0,7636;-2,1576;0,3335;
0,652018;0,0489;0,5482;0,6401;-0,6070;-0,8496;0,9294;-0,7636;-2,1576;0,3335;
0,661713;-0,0459;0,3723;1,0398;-0,6070;-0,8496;0,9294;-0,7636;-2,1576;0,3335;
0,672029;-0,0459;0,3723;1,0398;-1,8329;-2,3653;3,3272;-0,7636;-2,1576;0,3335;
0,691796;-0,0459;0,3723;1,0398;-0,4277;-2,4208;2,1977;-0,7636;-2,1576;0,3335;
0,701924;-0,0459;0,3723;1,0398;-0,4277;-2,4208;2,1977;0,5327;-0,3238;0,5437;
0,711941;-0,0459;0,3723;1,0398;1,0113;-1,5319;0,6087;0,5327;-0,3238;0,5437;
0,726662;0,4016;0,5248;0,6958;1,0113;-1,5319;0,6087;0,5327;-0,3238;0,5437;
0,731862;0,4016;0,5248;0,6958;1,1873;-1,5378;0,4681;0,5327;-0,3238;0,5437;
0,752043;0,4016;0,5248;0,6958;2,1222;-1,4094;-0,3901;0,5327;-0,3238;0,5437;
0,767138;0,4016;0,5248;0,6958;2,1222;-1,4094;-0,3901;0,2871;-0,3372;-1,0886;
0,774389;0,4016;0,5248;0,6958;0,6115;-1,1912;1,2451;0,2871;-0,3372;-1,0886;
0,791931;0,2492;0,5805;0,9245;0,6115;-1,1912;1,2451;0,2871;-0,3372;-1,0886;
0,793848;0,2492;0,5805;0,9245;-0,5805;-0,8242;2,5362;0,2871;-0,3372;-1,0886;
0,811977;0,2492;0,5805;0,9245;0,8624;-0,9214;2,1096;0,2871;-0,3372;-1,0886;
0,831911;0,2492;0,5805;0,9245;2,0412;-0,7792;1,2600;0,2871;-0,3372;-1,0886;
0,834496;0,2492;0,5805;0,9245;2,0412;-0,7792;1,2600;1,4441;-0,0428;-1,4087;
0,852046;0,2492;0,5805;0,9245;-2,8802;1,1976;0,4229;1,4441;-0,0428;-1,4087;
0,857328;-0,1182;0,7036;0,4378;-2,8802;1,1976;0,4229;1,4441;-0,0428;-1,4087;
0,874749;-0,1182;0,7036;0,4378;-3,7014;0,5967;-1,4980;1,4441;-0,0428;-1,4087;
0,892202;-0,1182;0,7036;0,4378;0,4287;-0,6529;-2,0700;1,4441;-0,0428;-1,4087;
0,899899;-0,1182;0,7036;0,4378;0,4287;-0,6529;-2,0700;-0,3433;0,0403;0,0195;
0,912261;-0,1182;0,7036;0,4378;0,7596;-0,1623;-0,2120;-0,3433;0,0403;0,0195;
0,924847;0,1593;0,6929;0,7769;0,7596;-0,1623;-0,2120;-0,3433;0,0403;0,0195;
0,932251;0,1593;0,6929;0,7769;0,3865;-0,4876;1,3873;-0,3433;0,0403;0,0195;
0,952406;0,1593;0,6929;0,7769;0,3108;-0,3127;0,7044;-0,3433;0,0403;0,0195;
0,963385;0,1593;0,6929;0,7769;0,3108;-0,3127;0,7044;0,3665;-0,0880;-0,0904;
0,974091;0,1593;0,6929;0,7769;-0,2222;-0,6703;0,3292;0,3665;-0,0880;-0,0904;
0,990334;0,1495;0,7134;0,7124;-0,2222;-0,6703;0,3292;0,3665;-0,0880;-0,0904;
0,994253;0,1495;0,7134;0,7124;0,1422;-0,5068;0,7906;0,3665;-0,0880;-0,0904;
1,012489;0,1495;0,7134;0,7124;0,3460;-0,1654;0,5313;0,3665;-0,0880;-0,0904;
1,027335;0,1495;0,7134;0,7124;0,3460;-0,1654;0,5313;0,2773;0,0440;-0,0293;
1,032045;0,1495;0,7134;0,7124;-0,1839;-0,3127;0,5688;0,2773;0,0440;-0,0293;
1,055431;0,1368;0,7310;0,7437;-0,1839;-0,3127;0,5688;0,2773;0,0440;-0,0293;
1,057824;0,1368;0,7310;0,7437;-0,1584;-0,4325;0,8303;0,2773;0,0440;-0,0293;
1,072896;0,1368;0,7310;0,7437;0,3867;-0,0898;0,8889;0,2773;0,0440;-0,0293;
1,092347;0,1368;0,7310;0,7437;0,1059;-0,3907;0,3999;0,2773;0,0440;-0,0293;
1,096727;0,1368;0,7310;0,7437;0,1059;-0,3907;0,3999;0,1185;0,0709;-0,0501;
1,112266;0,1368;0,7310;0,7437;-0,5870;-0,6449;0,0548;0,1185;0,0709;-0,0501;
1,117008;0,1075;0,6968;0,6772;-0,5870;-0,6449;0,0548;0,1185;0,0709;-0,0501;
1,132305;0,1075;0,6968;0,6772;0,1155;-0,5495;0,3207;0,1185;0,0709;-0,0501;
1,154641;0,1075;0,6968;0,6772;0,0658;-0,3498;-0,1108;0,1185;0,0709;-0,0501;
1,160502;0,1075;0,6968;0,6772;0,0658;-0,3498;-0,1108;-0,1124;0,1625;0,1368;
1,172564;0,1075;0,6968;0,6772;-0,5519;-0,6574;0,1346;-0,1124;0,1625;0,1368;
1,182136;0,0508;0,6841;0,7446;-0,5519;-0,6574;0,1346;-0,1124;0,1625;0,1368;
1,192469;0,0508;0,6841;0,7446;-0,5786;-0,6457;0,6132;-0,1124;0,1625;0,1368;
1,212223;0,0508;0,6841;0,7446;0,2873;-0,2295;0,9077;-0,1124;0,1625;0,1368;
1,222555;0,0508;0,6841;0,7446;0,2873;-0,2295;0,9077;0,0440;0,1014;0,0867;
1,232244;0,0508;0,6841;0,7446;0,1706;-0,2129;0,2649;0,0440;0,1014;0,0867;
1,247172;0,0635;0,7153;0,7026;0,1706;-0,2129;0,2649;0,0440;0,1014;0,0867;
1,255262;0,0635;0,7153;0,7026;-0,1785;-0,0888;-0,1914;0,0440;0,1014;0,0867;
1,272287;0,0635;0,7153;0,7026;-0,0059;-0,1372;0,5834;0,0440;0,1014;0,0867;
1,287298;0,0635;0,7153;0,7026;-0,0059;-0,1372;0,5834;0,0916;-0,3543;0,1955;
1,292232;0,0635;0,7153;0,7026;-0,0279;-0,2927;0,4322;0,0916;-0,3543;0,1955;
1,312352;0,0674;0,7134;0,6772;-0,0279;-0,2927;0,4322;0,0916;-0,3543;0,1955;
1,314665;0,0674;0,7134;0,6772;0,0431;-0,2857;-0,4692;0,0916;-0,3543;0,1955;
1,332289;0,0674;0,7134;0,6772;-0,4038;-0,1926;0,1669;0,0916;-0,3543;0,1955;
1,352368;0,0674;0,7134;0,6772;-0,4863;-0,5940;1,0786;0,0916;-0,3543;0,1955;
1,358268;0,0674;0,7134;0,6772;-0,4863;-0,5940;1,0786;0,1833;-0,1613;0,2627;
1,372342;0,0674;0,7134;0,6772;-0,1891;-0,6677;0,8299;0,1833;-0,1613;0,2627;
1,377590;0,1300;0,6811;0,7906;-0,1891;-0,6677;0,8299;0,1833;-0,1613;0,2627;
1,392226;0,1300;0,6811;0,7906;0,0656;-0,4567;1,0545;0,1833;-0,1613;0,2627;
1,412298;0,1300;0,6811;0,7906;0,0233;-0,3806;0,7903;0,1833;-0,1613;0,2627;
1,422294;0,1300;0,6811;0,7906;0,0233;-0,3806;0,7903;0,2993;-0,0794;0,3543;
1,435500;0,1300;0,6811;0,7906;-0,5792;-0,3396;0,1715;0,2993;-0,0794;0,3543;
1,441924;-0,0205;0,8228;0,7231;-0,5792;-0,3396;0,1715;0,2993;-0,0794;0,3543;
1,452386;-0,0205;0,8228;0,7231;-1,1972;0,5046;0,2869;0,2993;-0,0794;0,3543;
1,472283;-0,0205;0,8228;0,7231;-1,7553;1,2889;1,1669;0,2993;-0,0794;0,3543;
1,484629;-0,0205;0,8228;0,7231;-1,7553;1,2889;1,1669;0,3629;-0,1503;0,5754;
1,492255;-0,0205;0,8228;0,7231;-2,4948;2,6363;1,8567;0,3629;-0,1503;0,5754;
1,507044;0,0381;1,1864;1,0964;-2,4948;2,6363;1,8567;0,3629;-0,1503;0,5754;
1,512379;0,0381;1,1864;1,0964;-1,3653;4,0365;3,0387;0,3629;-0,1503;0,5754;
1,533566;0,0381;1,1864;1,0964;-1,1331;4,3706;5,1518;0,3629;-0,1503;0,5754;
1,550570;0,0381;1,1864;1,0964;-1,1331;4,3706;5,1518;1,3622;0,0440;0,1955;
1,555545;0,0381;1,1864;1,0964;-0,2217;5,4776;5,4634;1,3622;0,0440;0,1955;
1,572370;0,2169;1,3046;1,1688;-0,2217;5,4776;5,4634;1,3622;0,0440;0,1955;
1,576285;0,2169;1,3046;1,1688;0,3142;5,8588;4,6111;1,3622;0,0440;0,1955;
1,592256;0,2169;1,3046;1,1688;0,7138;5,0617;5,7124;1,3622;0,0440;0,1955;
1,612501;0,2169;1,3046;1,1688;0,9737;3,8864;5,9179;1,3622;0,0440;0,1955;
1,616575;0,2169;1,3046;1,1688;0,9737;3,8864;5,9179;2,3030;0,3983;-0,3506;
1,632225;0,2169;1,3046;1,1688;0,8219;3,4761;4,0133;2,3030;0,3983;-0,3506;
1,638123;0,1827;1,1150;0,7114;0,8219;3,4761;4,0133;2,3030;0,3983;-0,3506;
1,653307;0,1827;1,1150;0,7114;0,9663;2,6763;2,4981;2,3030;0,3983;-0,3506;
1,672220;0,1827;1,1150;0,7114;0,3147;2,4615;1,4082;2,3030;0,3983;-0,3506;
1,683218;0,1827;1,1150;0,7114;0,3147;2,4615;1,4082;2,0073;0,4337;-0,6695;
1,692237;0,1827;1,1150;0,7114;1,0111;2,8715;0,6241;2,0073;0,4337;-0,6695;
1,702277;0,1515;0,8981;0,5365;1,0111;2,8715;0,6241;2,0073;0,4337;-0,6695;
1,715898;0,1515;0,8981;0,5365;1,2193;1,0307;1,1967;2,0073;0,4337;-0,6695;
1,732981;0,1515;0,8981;0,5365;0,8108;-1,5039;1,6901;2,0073;0,4337;-0,6695;
1,742277;0,1515;0,8981;0,5365;0,8108;-1,5039;1,6901;1,9035;-0,0098;-0,4581;
1,752467;0,1515;0,8981;0,5365;1,5859;-3,7339;1,1926;1,9035;-0,0098;-0,4581;
